production_companies,Low Budget,Medium Budget,High Budget
3Foot7,0.0,0.0,1.0
80 Days Productions,0.0,0.0,1.0
A113,0.0,0.0,1.0
AFG Talons Productions,0.0,0.0,1.0
Alberto Grimaldi Productions,0.0,0.0,1.0
Apparatus Productions,0.0,0.0,1.0
Avi Arad Productions,0.0,0.0,1.0
B.H. Finance C.V.,0.0,0.0,1.0
B24,0.0,0.0,1.0
Babieka,0.0,0.0,1.0
Berlanti Productions,0.0,0.0,1.0
Big Bug Pictures,0.0,0.0,1.0
Big Primate Pictures,0.0,0.0,1.0
Blind Wink,0.0,0.0,1.0
Blind Wink Productions,0.0,0.0,1.0
Blue Tulip Productions,0.0,0.3333333333333333,0.6666666666666666
Boram Entertainment Inc.,0.0,0.0,1.0
Branded Entertainment/Batfilm Productions,0.0,0.0,1.0
Bulletproof Cupid,0.0,0.0,1.0
Calash Corporation,0.0,0.0,1.0
Captivate Entertainment,0.0,0.0,1.0
Centropolis Entertainment,0.0,0.4,0.6
Chartoff Productions,0.0,0.0,1.0
China Movie Channel,0.0,0.0,1.0
Cliffhanger Productions,0.0,0.0,1.0
Columbus 81 Productions,0.0,0.0,1.0
Constant c Productions,0.0,0.0,1.0
Constantin Film International,0.0,0.0,1.0
Cool Music,0.0,0.0,1.0
Cott Productions,0.0,0.0,1.0
Courtside Seats Productions,0.0,0.0,1.0
Cruella Productions,0.0,0.0,1.0
Desertlands Entertainment,0.0,0.0,1.0
Digital Domain,0.0,0.0,1.0
Disney Double Dare You (DDY),0.0,0.0,1.0
Disney Enterprises,0.0,0.0,1.0
Disruption Entertainment,0.0,0.3333333333333333,0.6666666666666666
Donners' Company,0.0,0.45454545454545453,0.5454545454545454
Doom Buggy Productions,0.0,0.0,1.0
Dovemead Films,0.0,0.3333333333333333,0.6666666666666666
Dr D Studios,0.0,0.0,1.0
DreamWorks Television,0.0,0.0,1.0
Dutch Oven,0.0,0.0,1.0
Farewell Productions,0.0,0.0,1.0
Film 44,0.0,0.0,1.0
Film Export A.G.,0.0,0.0,1.0
Foqus Arte Digital,0.0,0.0,1.0
Franklin/Waterman Productions,0.0,0.0,1.0
Frantic Films,0.0,0.0,1.0
Fried Films,0.0,0.0,1.0
"Furia de Titanes II, A.I.E.",0.0,0.0,1.0
George Stevens Productions,0.0,0.0,1.0
Global Medien KG,0.0,0.0,1.0
Government of Malta,0.0,0.0,1.0
Green Hills Productions,0.0,0.0,1.0
Hacienda Productions,0.0,0.0,1.0
Harry Potter Publishing Rights,0.0,0.0,1.0
Hasbro,0.14285714285714285,0.14285714285714285,0.7142857142857143
Heineken Branded Entertainment,0.0,0.0,1.0
Helena Productions,0.0,0.0,1.0
Hemisphere Media Capital,0.0,0.3333333333333333,0.6666666666666666
