production_companies,original_title,budget_adj_millions,genres
Truenorth Productions,Star Wars: The Force Awakens,184.00 million,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']"
Skydance Productions,Terminator Genisys,142.60 million,"['Science Fiction', 'Action', 'Thriller', 'Adventure']"
Walt Disney Studios Motion Pictures,Inside Out,161.00 million,"['Comedy', 'Animation', 'Family']"
B24,Spectre,225.40 million,"['Action', 'Adventure', 'Crime']"
Revolution Sun Studios,Avengers: Age of Ultron,257.60 million,"['Action', 'Adventure', 'Science Fiction']"
Walt Disney Studios Motion Pictures,The Hunger Games: Mockingjay - Part 2,147.20 million,"['War', 'Adventure', 'Science Fiction']"
Babieka,Tomorrowland,174.80 million,"['Action', 'Family', 'Science Fiction', 'Adventure', 'Mystery']"
A113,Tomorrowland,174.80 million,"['Action', 'Family', 'Science Fiction', 'Adventure', 'Mystery']"
Skydance Productions,Mission: Impossible - Rogue Nation,138.00 million,['Action']
China Movie Channel,Mission: Impossible - Rogue Nation,138.00 million,['Action']
TC Productions,Mission: Impossible - Rogue Nation,138.00 million,['Action']
Marvel Entertainment,Fantastic Four,110.40 million,"['Action', 'Adventure', 'Science Fiction']"
Moving Picture Company (MPC),Fantastic Four,110.40 million,"['Action', 'Adventure', 'Science Fiction']"
Roth Films,In the Heart of the Sea,92.00 million,"['Thriller', 'Drama', 'Adventure', 'Action', 'History']"
Moving Picture Company (MPC),Pan,138.00 million,"['Adventure', 'Family', 'Fantasy']"
Berlanti Productions,Pan,138.00 million,"['Adventure', 'Family', 'Fantasy']"
Infinitum Nihil,Black Mass,48.76 million,"['Crime', 'Drama']"
Disruption Entertainment,The SpongeBob Movie: Sponge Out of Water,68.08 million,"['Family', 'Animation']"
Moving Picture Company (MPC),Victor Frankenstein,36.80 million,"['Drama', 'Science Fiction', 'Thriller']"
Centropolis Entertainment,Stonewall,12.42 million,['Drama']
Syncopy,Interstellar,151.98 million,"['Adventure', 'Drama', 'Science Fiction']"
Moving Picture Company (MPC),Guardians of the Galaxy,156.59 million,"['Action', 'Science Fiction', 'Adventure']"
Bulletproof Cupid,Guardians of the Galaxy,156.59 million,"['Action', 'Science Fiction', 'Adventure']"
Revolution Sun Studios,Guardians of the Galaxy,156.59 million,"['Action', 'Science Fiction', 'Adventure']"
3Foot7,The Hobbit: The Battle of the Five Armies,230.27 million,"['Adventure', 'Fantasy']"
Moving Picture Company (MPC),Night at the Museum: Secret of the Tomb,116.98 million,"['Adventure', 'Comedy', 'Fantasy', 'Family']"
