production_companies,original_title,genres,revenue_millions,popularity
Lightstorm Entertainment,Avatar,Action,2827.12 million,9.432768
Lightstorm Entertainment,Avatar,Science Fiction,2827.12 million,9.432768
Lightstorm Entertainment,Avatar,Fantasy,2827.12 million,9.432768
Lightstorm Entertainment,Avatar,Adventure,2827.12 million,9.432768
Lightstorm Entertainment,Titanic,Thriller,2506.41 million,4.355219
Lightstorm Entertainment,Titanic,Romance,2506.41 million,4.355219
Lightstorm Entertainment,Titanic,Drama,2506.41 million,4.355219
Hoya Productions,The Exorcist,Thriller,2167.32 million,2.010733
Hoya Productions,The Exorcist,Horror,2167.32 million,2.010733
Hoya Productions,The Exorcist,Drama,2167.32 million,2.010733
Truenorth Productions,Star Wars: The Force Awakens,Adventure,1902.72 million,11.173104
Truenorth Productions,Star Wars: The Force Awakens,Action,1902.72 million,11.173104
Truenorth Productions,Star Wars: The Force Awakens,Science Fiction,1902.72 million,11.173104
Truenorth Productions,Star Wars: The Force Awakens,Fantasy,1902.72 million,11.173104
One Race Films,Furious 7,Action,1385.75 million,9.335014
One Race Films,Furious 7,Crime,1385.75 million,9.335014
One Race Films,Furious 7,Thriller,1385.75 million,9.335014
Revolution Sun Studios,Avengers: Age of Ultron,Adventure,1292.63 million,5.944927
Revolution Sun Studios,Avengers: Age of Ultron,Action,1292.63 million,5.944927
Revolution Sun Studios,Avengers: Age of Ultron,Science Fiction,1292.63 million,5.944927
Alfran Productions,The Godfather,Crime,1277.91 million,5.738034
Alfran Productions,The Godfather,Drama,1277.91 million,5.738034
Second Mate Productions,Pirates of the Caribbean: Dead Man's Chest,Fantasy,1152.69 million,4.205992
Second Mate Productions,Pirates of the Caribbean: Dead Man's Chest,Action,1152.69 million,4.205992
Second Mate Productions,Pirates of the Caribbean: Dead Man's Chest,Adventure,1152.69 million,4.205992
Julia Phillips and Michael Phillips Productions,Close Encounters of the Third Kind,Science Fiction,1092.96 million,1.104816
Julia Phillips and Michael Phillips Productions,Close Encounters of the Third Kind,Drama,1092.96 million,1.104816
MIRACLE Productions GmbH & Co. KG,Harry Potter and the Chamber of Secrets,Fantasy,1062.78 million,6.012584
MIRACLE Productions GmbH & Co. KG,Harry Potter and the Chamber of Secrets,Family,1062.78 million,6.012584
