actor,movie,revenue
Christopher Plummer,The Night of the Generals,43.96 million
Christopher Plummer,The Sound of Music,1129.53 million
Sean Connery,Dr. No,429.62 million
Sean Connery,Goldfinger,878.08 million
Sean Connery,Marnie,49.21 million
Sean Connery,You Only Live Twice,729.40 million
Sean Connery,From Russia With Love,561.77 million
Sean Connery,Thunderball,977.15 million
Sean Connery,The Hill,43.96 million
Dustin Hoffman,The Graduate,682.42 million
Dustin Hoffman,Midnight Cowboy,266.21 million
Martin Landau,Cleopatra,411.19 million
Julie Andrews,Mary Poppins,719.00 million
Julie Andrews,The Americanization of Emily,43.96 million
Julie Andrews,Thoroughly Modern Millie,43.96 million
Julie Andrews,The Sound of Music,1129.53 million
Julie Andrews,Torn Curtain,87.33 million
Anne Bancroft,The Miracle Worker,18.02 million
Anne Bancroft,The Graduate,682.42 million
Julie Christie,Doctor Zhivago,773.18 million
Julie Christie,Darling,43.96 million
Julie Christie,Fahrenheit 451,43.96 million
Jon Voight,Midnight Cowboy,266.21 million
Jacqueline Bisset,Bullitt,265.18 million
Michael York,Romeo and Juliet,243.87 million
Mia Farrow,Rosemary's Baby,209.35 million
Anthony Quinn,Lawrence of Arabia,504.59 million
Anthony Quinn,Zorba the Greek,43.96 million
Anthony Quinn,The Guns of Navarone,210.82 million
Anthony Quinn,Barabbas,43.96 million
Faye Dunaway,The Thomas Crown Affair,43.96 million
Faye Dunaway,Bonnie and Clyde,331.41 million
Warren Beatty,Splendor in the Grass,43.96 million
Warren Beatty,Bonnie and Clyde,331.41 million
Gene Hackman,Bonnie and Clyde,331.41 million
Gene Hackman,Downhill Racer,43.96 million
Robert Redford,Barefoot in the Park,43.96 million
Robert Redford,Butch Cassidy and the Sundance Kid,608.15 million
Robert Redford,Downhill Racer,43.96 million
Robert Redford,The Chase,43.96 million
Peter Ustinov,Blackbeard's Ghost,43.96 million
Peter Ustinov,Topkapi,43.96 million
Peter Ustinov,Spartacus,442.38 million
Candice Bergen,The Sand Pebbles,134.36 million
Peter O'Toole,The Lion in Winter,43.96 million
Peter O'Toole,Lawrence of Arabia,504.59 million
Peter O'Toole,Becket,43.96 million
Peter O'Toole,The Night of the Generals,43.96 million
Peter O'Toole,What's New Pussycat?,43.96 million
Peter O'Toole,How to Steal a Million,43.96 million
Paul Newman,The Hustler,43.96 million
Paul Newman,Exodus,43.96 million
Paul Newman,Cool Hand Luke,106.01 million
Paul Newman,Hombre,43.96 million
Paul Newman,Hud,43.96 million
Paul Newman,The Prize,43.96 million
Paul Newman,Butch Cassidy and the Sundance Kid,608.15 million
Paul Newman,Torn Curtain,87.33 million
Paul Newman,Harper,43.96 million
